station,school,a_teen,a_college,a_adult,a_mid,a_old,a_unkown,r_native,r_asian,r_black,r_latino,r_unknown,r_white,sex_f,s_m,sex_u,total,public,cc,private,school_a_teen,school_a_college,school_a_adult,school_a_mid,school_a_old,school_a_unkown,school_r_native,school_r_asian,school_r_black,school_r_latino,school_r_unknown,school_r_white,school_sex_f,school_s_m,school_sex_u,school_total,school_r_native,school_r_asian,school_r_black,school_r_latino,school_r_unknown,school_r_white,school_sex_f,school_sex_m,school_sex_u,school_total
23 STREET,baruch,8,213,273,135,17,4,2,60,146,245,38,159,138,510,2,650,1,0,0,,,,,,,,,,,,,,,,,18.0,7020.0,1800.0,5220.0,900.0,3222.0,8820.0,9180.0,0.0,18000.0
23 STREET-ELY AVENUE,sva,0,8,24,4,0,0,0,2,1,27,2,4,10,26,0,36,0,0,1,,,,,,,,,,,,,,,,,8.0,560.0,240.0,400.0,200.0,2592.0,2400.0,1600.0,0.0,4000.0
FLATBUSH AVE.-BROOKLYN COLLEGE,brooklyn_college,8,134,157,70,7,3,0,18,237,78,8,38,95,284,0,379,1,0,0,,,,,,,,,,,,,,,,,34.0,2550.0,4080.0,4590.0,680.0,5066.0,9860.0,7140.0,0.0,17000.0
137 ST.-CITY COLLEGE,ccny,2,125,195,62,8,1,1,11,109,183,18,71,73,319,1,393,1,0,0,,,,,,,,,,,,,,,,,32.0,3520.0,3360.0,5600.0,480.0,3008.0,7520.0,8480.0,0.0,16000.0
68 ST.-HUNTER COLLEGE,hunter,14,257,216,115,4,1,4,87,99,223,18,176,213,391,3,607,1,0,0,,,,,,,,,,,,,,,,,46.0,4600.0,2530.0,6210.0,920.0,8694.0,15640.0,7360.0,0.0,23000.0
59 ST.-COLUMBUS CIRCLE,john_jay,106,1800,1898,572,82,24,12,462,884,1755,162,1207,1290,3180,12,4482,1,0,0,,,,,,,,,,,,,,,,,30.0,1500.0,2850.0,6150.0,450.0,4020.0,7950.0,7050.0,0.0,15000.0
BEDFORD PK. BLVD.,lehman,0,8,15,2,0,0,0,0,4,19,1,1,4,21,0,25,1,0,0,,,,,,,,,,,,,,,,,28.0,980.0,4340.0,7420.0,280.0,952.0,9100.0,4900.0,0.0,14000.0
BEDFORD PK. BLVD.-LEHMAN COLLEGE,lehman,3,53,111,62,3,0,0,3,52,166,4,7,17,215,0,232,1,0,0,,,,,,,,,,,,,,,,,12.0,180.0,5100.0,600.0,60.0,48.0,4200.0,1800.0,0.0,6000.0
FRANKLIN AVENUE,medgar_evers,2,183,335,99,2,1,0,43,249,137,17,176,159,460,3,622,1,0,0,,,,,,,,,,,,,,,,,34.0,3570.0,5610.0,5440.0,340.0,2006.0,6800.0,10200.0,0.0,17000.0
PRESIDENT STREET,medgar_evers,0,11,8,4,2,1,0,1,12,10,1,2,4,21,1,26,1,0,0,,,,,,,,,,,,,,,,,40.0,5600.0,2000.0,5000.0,800.0,6560.0,11000.0,9000.0,0.0,20000.0
JAY STREET-BOROUGH HALL,city_tech,34,654,532,193,18,5,9,278,469,338,76,266,406,1022,8,1436,1,0,0,,,,,,,,,,,,,,,,,17.0,1955.0,3230.0,2125.0,170.0,1003.0,5270.0,3230.0,0.0,8500.0
FLUSHING AVENUE,queens_college,2,106,188,58,7,1,0,19,116,124,9,94,69,292,1,362,1,0,0,,,,,,,,,,,,,,,,,52.0,3900.0,8580.0,10400.0,520.0,2548.0,14820.0,11180.0,0.0,26000.0
PARSONS/ARCHER-JAMAICA CENTER,york,3,56,75,31,0,1,0,2,71,75,15,3,22,143,1,166,1,0,0,,,,,,,,,,,,,,,,,22.0,220.0,3630.0,6820.0,110.0,198.0,6490.0,4510.0,0.0,11000.0
CHAMBERS STREET,bmcc,8,94,115,34,6,0,1,26,80,104,2,44,66,191,0,257,1,1,0,,,,,,,,,,,,,,,,,14.0,70.0,2100.0,4760.0,35.0,21.0,4620.0,2380.0,0.0,7000.0
BURNSIDE AVENUE,bcc,4,109,159,52,9,2,1,2,156,157,5,14,29,305,1,335,1,1,0,,,,,,,,,,,,,,,,,30.0,1800.0,3600.0,3300.0,450.0,5820.0,8250.0,6750.0,0.0,15000.0
149 ST.-GRAND CONCOURSE,hostos,3,120,278,135,9,2,0,9,255,242,4,37,85,460,2,547,1,1,0,,,,,,,,,,,,,,,,,38.0,4560.0,3420.0,7980.0,380.0,2622.0,10070.0,8930.0,0.0,19000.0
SHEEPSHEAD BAY,kbcc,7,102,130,66,4,0,1,25,52,58,18,155,82,224,3,309,1,1,0,,,,,,,,,,,,,,,,,66.0,5280.0,1980.0,4290.0,1650.0,19734.0,16500.0,16500.0,0.0,33000.0
33 STREET,lagcc,20,523,716,241,31,6,7,173,291,730,55,281,365,1166,6,1537,1,1,0,,,,,,,,,,,,,,,,,102.0,8160.0,4080.0,6630.0,2040.0,29988.0,29580.0,21420.0,0.0,51000.0
116 ST.-COLUMBIA UNIVERSITY,columbia,4,219,80,16,4,1,2,103,44,60,10,105,114,208,2,324,0,0,1,,,,,,,,,,,,,,,,,32.0,1600.0,800.0,2560.0,480.0,10528.0,8640.0,7360.0,0.0,16000.0
8 ST.-NYU,nyu,0,12,13,3,4,0,1,7,8,6,5,5,7,25,0,32,0,0,1,,,,,,,,,,,,,,,,,20.0,800.0,500.0,1300.0,500.0,6880.0,6800.0,3200.0,0.0,10000.0
FORDHAM ROAD,fordham,2,102,254,122,10,1,0,9,134,310,14,24,38,453,0,491,0,0,1,,,,,,,,,,,,,,,,,26.0,1300.0,1820.0,2340.0,650.0,6864.0,8060.0,4940.0,0.0,13000.0
14 ST.-UNION SQUARE,the_new_school,1,49,68,17,1,0,1,19,27,48,8,33,35,101,0,136,0,0,1,,,,,,,,,,,,,,,,,42.0,3150.0,3150.0,3570.0,630.0,10458.0,11550.0,9450.0,0.0,21000.0
FULTON STREET,pace,16,398,483,166,17,0,6,78,367,397,30,202,278,800,2,1080,0,0,1,,,,,,,,,,,,,,,,,12.0,180.0,120.0,240.0,60.0,5388.0,2640.0,3360.0,0.0,6000.0
CLINTON-WASHINGTON AVENUES,st_johns,0,60,95,27,2,0,0,15,36,55,5,73,63,121,0,184,0,0,1,,,,,,,,,,,,,,,,,2.0,150.0,50.0,100.0,50.0,648.0,500.0,500.0,0.0,1000.0
181 STREET,yeshiva,0,29,39,21,1,0,0,3,19,52,0,16,23,66,1,90,0,0,1,,,,,,,,,,,,,,,,,8.0,200.0,200.0,800.0,80.0,2712.0,1880.0,2120.0,0.0,4000.0
66 ST.-LINCOLN CENTER,julliard,0,14,10,8,3,0,0,3,9,12,1,10,6,29,0,35,0,0,1,,,,,,,,,,,,,,,,,5.2,130.0,390.0,650.0,78.0,1346.8,1352.0,1248.0,0.0,2600.0
242 ST.-VAN CORTLANDT PARK,manhattan_college,0,57,68,34,0,1,0,4,34,101,1,20,29,131,0,160,0,0,1,,,,,,,,,,,,,,,,,14.0,350.0,2800.0,1400.0,210.0,2226.0,4900.0,2100.0,0.0,7000.0
BOROUGH HALL,st_francis,2,38,55,25,4,0,1,9,54,27,4,29,31,93,0,124,0,0,1,,,,,,,,,,,,,,,,,3.4,204.0,272.0,578.0,34.0,608.6,340.0,1360.0,0.0,1700.0
NEVINS STREET,liu_brooklyn,0,38,70,21,2,0,0,12,67,32,2,18,27,104,0,131,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,
DITMARS BLVD.-ASTORIA,vaughn,3,75,78,15,0,0,0,11,16,93,12,39,32,139,0,171,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,
