Station,10-17,18-24,25-40,41-59,60+,Unknown,Total
138 ST.-GRAND CONCOURSE,0,13,26,9,2,2,52
"4,5",0,13,26,9,2,2,52
149 ST.-GRAND CONCOURSE,3,96,190,81,4,1,375
"2,5",0,0,5,2,0,0,7
4,3,96,185,79,4,1,368
161 ST.-YANKEE STADIUM,3,89,190,116,10,1,409
4,0,45,93,64,6,1,209
"B,D",3,44,97,52,4,0,200
167 STREET,0,25,43,27,6,1,102
4,0,19,29,23,4,1,76
"B,D",0,6,14,4,2,0,26
170 STREET,1,69,156,49,2,5,282
4,1,59,123,39,0,3,225
"B,D",0,10,33,10,2,2,57
174-175 STREETS,0,7,11,3,0,0,21
"B,D",0,7,11,3,0,0,21
176 STREET,1,55,66,28,4,1,155
4,1,55,66,28,4,1,155
182-183 STREETS,4,52,66,37,3,0,162
"B,D",4,52,66,37,3,0,162
183 STREET,1,37,62,28,1,0,129
4,1,37,62,28,1,0,129
205 ST.-NORWOOD,0,8,12,6,0,0,26
D,0,8,12,6,0,0,26
219 STREET,0,7,15,5,0,0,27
"2,5",0,7,15,5,0,0,27
225 STREET,2,15,38,15,1,0,71
"2,5",2,15,38,15,1,0,71
233 STREET,0,1,7,1,0,0,9
"2,5",0,1,7,1,0,0,9
238 ST.-NEREID AVE.,0,4,2,3,0,0,9
"2,5",0,4,2,3,0,0,9
241 ST.-WAKEFIELD,1,10,18,8,1,0,38
2,1,10,18,8,1,0,38
3 AVENUE-138 STREET,1,18,66,29,0,0,114
6,1,18,66,29,0,0,114
3 AVENUE-149 STREET,2,53,103,44,5,0,207
"2,5",2,53,103,44,5,0,207
ALLERTON AVENUE,2,5,15,6,0,0,28
"2,5",2,5,15,6,0,0,28
BAYCHESTER AVENUE,0,4,6,0,0,0,10
5,0,4,6,0,0,0,10
BEDFORD PK. BLVD.,0,4,5,2,0,0,11
"B,D",0,4,5,2,0,0,11
BEDFORD PK. BLVD.-LEHMAN COLLEGE,0,5,5,5,0,0,15
4,0,5,5,5,0,0,15
BRONX PARK EAST,0,21,40,13,0,0,74
"2,5",0,21,40,13,0,0,74
BROOK AVENUE,0,17,23,10,0,0,50
6,0,17,23,10,0,0,50
BURKE AVENUE,0,0,5,2,0,0,7
"2,5",0,0,5,2,0,0,7
BURNSIDE AVENUE,2,47,70,30,1,0,150
4,2,47,70,30,1,0,150
CASTLE HILL AVENUE,1,7,28,8,0,0,44
6,1,7,28,8,0,0,44
CYPRESS AVENUE,0,1,4,1,0,0,6
6,0,1,4,1,0,0,6
DISTRICT 12 OFFICE,0,1,0,0,0,0,1
N/A,0,1,0,0,0,0,1
DYRE AVE.-EASTCHESTER,0,1,0,0,0,0,1
5,0,1,0,0,0,0,1
EAST 143 ST.-ST. MARYS STREET,0,1,2,0,0,0,3
6,0,1,2,0,0,0,3
EAST 149 STREET,0,16,20,9,0,0,45
6,0,16,20,9,0,0,45
EAST 174 STREET,1,17,22,6,0,0,46
"2,5",1,17,22,6,0,0,46
EAST 177 ST.-PARKCHESTER,0,32,53,15,0,0,100
6,0,32,53,15,0,0,100
EAST 180 STREET,3,88,136,45,6,0,278
"2,5",3,88,136,45,6,0,278
EAST TREMONT AV.-WESTCHESTER SQ.,0,1,3,1,2,0,7
6,0,1,3,1,2,0,7
EAST TREMONT AVE.-WEST FARMS SQ.,0,6,15,4,0,0,25
"2,5",0,6,15,4,0,0,25
ELDER AVENUE,0,19,25,11,1,0,56
6,0,19,25,11,1,0,56
Fordham Rd/Grand Concource,2,56,94,39,4,2,197
"B,D",2,56,94,39,4,2,197
FORDHAM ROAD,2,22,65,32,1,0,122
4,2,22,65,32,1,0,122
FREEMAN STREET,0,5,14,4,1,0,24
"2,5",0,5,14,4,1,0,24
GUN HILL ROAD,3,33,74,26,2,0,138
"2,5",3,30,70,22,2,0,127
5,0,3,4,4,0,0,11
HUNTS POINT AVENUE,4,56,79,24,0,0,163
6,4,56,79,24,0,0,163
INTERVALE AVENUE,0,19,25,7,0,0,51
"2,5",0,19,25,7,0,0,51
JACKSON AVENUE,1,17,31,5,0,0,54
"2,5",1,17,31,5,0,0,54
KINGSBRIDGE ROAD,2,20,32,20,0,0,74
4,0,7,12,4,0,0,23
"B,D",2,13,20,16,0,0,51
LONGWOOD AVENUE,0,6,5,0,0,0,11
6,0,6,5,0,0,0,11
MIDDLETOWN ROAD,0,0,2,0,0,0,2
6,0,0,2,0,0,0,2
MORRIS PARK,0,1,3,1,0,0,5
5,0,1,3,1,0,0,5
MOSHOLU PKWY.,0,5,7,1,0,0,13
4,0,5,7,1,0,0,13
MT. EDEN AVENUE,0,24,45,21,2,1,93
4,0,24,45,21,2,1,93
OFF-SYSTEM,0,1,0,1,0,0,2
OFF-SYSTEM,0,1,0,1,0,0,2
PELHAM BAY PARK,0,1,2,1,0,0,4
6,0,1,2,1,0,0,4
PELHAM PKWY.,0,7,17,1,2,0,27
"2,5",0,5,14,1,2,0,22
5,0,2,3,0,0,0,5
PROSPECT AVENUE,0,20,32,13,0,0,65
"2,5",0,20,32,13,0,0,65
SIMPSON STREET,2,19,39,16,1,0,77
"2,5",2,19,39,16,1,0,77
SOUNDVIEW AVENUE,2,33,44,12,0,0,91
6,2,33,44,12,0,0,91
ST. LAWRENCE AVENUE,0,8,14,8,0,0,30
6,0,8,14,8,0,0,30
TREMONT AVENUE,1,28,48,28,0,0,105
"B,D",1,28,48,28,0,0,105
WHITLOCK AVENUE,0,3,6,3,0,0,12
6,0,3,6,3,0,0,12
WOODLAWN,0,28,35,23,1,0,87
4,0,28,35,23,1,0,87
ZEREGA AVENUE,0,3,1,1,0,0,5
6,0,3,1,1,0,0,5
15 ST.-PROSPECT PARK,0,2,3,1,0,0,6
"F,G",0,2,3,1,0,0,6
18 AVENUE,0,3,5,3,0,0,11
D,0,1,4,1,0,0,6
F,0,0,0,1,0,0,1
N,0,2,1,1,0,0,4
20 AVENUE,0,13,29,3,0,0,45
D,0,11,18,2,0,0,31
N,0,2,11,1,0,0,14
25 AVENUE,0,0,3,0,0,0,3
D,0,0,3,0,0,0,3
25 STREET,0,0,6,3,0,1,10
R,0,0,6,3,0,1,10
36 STREET,0,13,27,11,0,0,51
"D,N,R",0,13,27,11,0,0,51
4 AVENUE-9 STREET,0,23,42,13,3,0,81
"F,G",0,23,42,13,3,0,81
45 STREET,0,6,5,3,0,0,14
R,0,6,5,3,0,0,14
50 STREET,0,0,1,0,0,0,1
D,0,0,1,0,0,0,1
53 STREET,0,7,22,13,1,0,43
R,0,7,22,13,1,0,43
55 STREET,0,0,0,0,1,0,1
D,0,0,0,0,1,0,1
59 STREET,1,10,12,10,0,0,33
"N,R",1,10,12,10,0,0,33
62 STREET,0,2,0,0,0,0,2
D,0,2,0,0,0,0,2
7 AVENUE,1,9,23,11,0,0,44
"F,G",1,9,23,11,0,0,44
71 STREET,0,0,0,1,0,0,1
D,0,0,0,1,0,0,1
77 STREET,0,1,1,0,0,0,2
R,0,1,1,0,0,0,2
79 STREET,0,1,11,7,0,0,19
D,0,1,11,7,0,0,19
7TH AVENUE,2,2,5,2,0,0,11
"B,Q",2,2,5,2,0,0,11
8 AVENUE,0,2,8,5,1,0,16
N,0,2,8,5,1,0,16
86 STREET,0,7,5,7,2,0,21
N,0,0,0,1,0,0,1
R,0,7,5,6,2,0,20
9 AVENUE,0,0,2,6,0,0,8
D,0,0,2,6,0,0,8
9TH STREET,1,3,2,0,0,0,6
R,1,3,2,0,0,0,6
ALABAMA AVENUE,0,1,7,5,0,0,13
J,0,1,7,5,0,0,13
ATLANTIC AVENUE,3,51,99,29,2,0,184
"2,3,4,5",2,36,73,19,2,0,132
"B,Q",0,7,20,5,0,0,32
L,1,8,6,5,0,0,20
"AVENUE ""H""",0,0,2,1,0,0,3
Q,0,0,2,1,0,0,3
"AVENUE ""I""",0,0,0,1,0,0,1
F,0,0,0,1,0,0,1
"AVENUE ""J""",0,3,7,2,0,0,12
Q,0,3,7,2,0,0,12
"AVENUE ""M""",0,0,5,2,0,0,7
Q,0,0,5,2,0,0,7
"AVENUE ""N""",0,2,3,1,0,0,6
F,0,2,3,1,0,0,6
"AVENUE ""U""",0,4,17,7,0,0,28
F,0,0,1,0,0,0,1
N,0,1,2,0,0,0,3
Q,0,3,14,7,0,0,24
"AVENUE ""X""",0,0,2,0,0,0,2
F,0,0,2,0,0,0,2
BAY 50 STREET,0,2,1,3,0,0,6
D,0,2,1,3,0,0,6
BAY PARKWAY,0,2,7,8,0,0,17
D,0,0,4,8,0,0,12
N,0,2,3,0,0,0,5
BAY RIDGE AVENUE,0,0,1,3,1,0,5
R,0,0,1,3,1,0,5
BEDFORD AVENUE,1,17,25,4,0,0,47
L,1,17,25,4,0,0,47
BEDFORD-NOSTRAND AVENUES,0,15,17,2,0,0,34
G,0,15,17,2,0,0,34
BERGEN STREET,0,16,29,7,0,0,52
"2,3",0,2,7,1,0,0,10
"F,G",0,14,22,6,0,0,42
BEVERLEY ROAD,0,0,1,0,0,0,1
Q,0,0,1,0,0,0,1
BEVERLY ROAD,0,4,11,1,0,0,16
"2,5",0,4,11,1,0,0,16
BOROUGH HALL,0,5,4,2,0,0,11
"2,3,4,5",0,5,4,2,0,0,11
BRIGHTON BEACH,0,8,20,13,0,0,41
"B,Q",0,8,20,13,0,0,41
BROADWAY,0,6,5,2,1,0,14
G,0,6,5,2,1,0,14
BROADWAY-EAST NEW YORK,2,10,29,7,0,0,48
"A,C",2,10,29,7,0,0,48
BROADWAY-EASTERN PKWY,0,2,4,1,0,0,7
"J,L,Z",0,2,4,1,0,0,7
BUSHWICK AVE.-ABERDEEN ST.,1,54,80,11,1,0,147
L,1,54,80,11,1,0,147
CARROLL STREET,0,2,1,1,1,0,5
"F,G",0,2,1,1,1,0,5
CENTRAL AVENUE,0,0,3,1,0,0,4
M,0,0,3,1,0,0,4
CHAUNCEY STREET,0,0,6,1,0,0,7
"J,Z",0,0,6,1,0,0,7
CHURCH AVENUE,5,58,78,44,5,0,190
"2,5",0,20,32,16,2,0,70
"B,Q",0,10,7,4,1,0,22
"F,G",5,28,39,24,2,0,98
CLARK STREET,1,7,10,2,0,0,20
"2,3",1,7,10,2,0,0,20
CLASSON AVENUE,0,1,0,0,0,0,1
G,0,1,0,0,0,0,1
CLEVELAND STREET,0,0,0,1,0,0,1
J,0,0,0,1,0,0,1
CLINTON-WASHINGTON AVENUES,0,18,52,6,1,0,77
C,0,15,39,4,1,0,59
G,0,3,13,2,0,0,18
CORTELYOU ROAD,1,1,7,1,0,0,10
Q,1,1,7,1,0,0,10
COURT STREET,0,0,3,0,0,0,3
R,0,0,3,0,0,0,3
CRESCENT STREET,0,2,10,1,0,0,13
"J,Z",0,2,10,1,0,0,13
CYPRESS HILLS,0,0,0,0,1,0,1
J,0,0,0,0,1,0,1
DEKALB AVENUE,0,42,56,18,1,0,117
"B,Q,R",0,27,24,9,0,0,60
L,0,15,32,9,1,0,57
DISTRICT 30 OFFICE,0,1,0,0,0,0,1
N/A,0,1,0,0,0,0,1
DISTRICT 33 OFFICE,1,4,0,2,0,0,7
N/A,1,4,0,2,0,0,7
EAST 105 STREET,0,24,24,3,0,0,51
L,0,24,24,3,0,0,51
EASTERN PKWY-BROOKLYN MUSEUM,0,3,6,1,0,0,10
"2,3",0,3,6,1,0,0,10
EUCLID AVENUE,1,6,5,2,0,0,14
"A,C",1,6,5,2,0,0,14
FLATBUSH AVE.-BROOKLYN COLLEGE,3,30,40,21,0,1,95
"2,5",3,30,40,21,0,1,95
FLUSHING AVENUE,0,37,73,18,0,1,129
G,0,0,4,2,0,0,6
"J,M",0,37,69,16,0,1,123
FORT HAMILTON PKWY,1,8,19,7,0,0,35
D,0,6,17,4,0,0,27
"F,G",0,0,1,0,0,0,1
N,1,2,1,3,0,0,7
FRANKLIN AVENUE,2,45,88,26,1,0,162
"2,3,4,5",1,31,74,19,1,0,126
C,1,13,14,6,0,0,34
S,0,1,0,1,0,0,2
FRESH POND ROAD,0,2,4,1,0,0,7
M,0,2,4,1,0,0,7
FULTON STREET,0,16,24,7,0,0,47
G,0,16,24,7,0,0,47
GATES AVENUE,0,8,9,2,0,0,19
"J,Z",0,8,9,2,0,0,19
GRAHAM AVENUE,0,15,18,6,0,0,39
L,0,15,18,6,0,0,39
GRAND ARMY PLAZA,0,1,6,2,0,0,9
"2,3",0,1,6,2,0,0,9
GRAND STREET,0,4,9,1,0,0,14
L,0,4,9,1,0,0,14
GRANT AVENUE,0,1,3,0,0,0,4
A,0,1,3,0,0,0,4
GREENPOINT AVENUE,0,1,4,0,0,0,5
G,0,1,4,0,0,0,5
HALSEY STREET,2,99,153,38,3,0,295
J,0,13,15,1,0,0,29
L,2,86,138,37,3,0,266
HEWES STREET,0,4,5,1,0,0,10
"J,M",0,4,5,1,0,0,10
HIGH STREET,1,1,9,0,0,0,11
"A,C",1,1,9,0,0,0,11
HOYT STREET,1,20,10,6,0,0,37
"2,3",1,20,10,6,0,0,37
HOYT-SCHERMERHORN,5,27,53,15,1,0,101
"A,C,G",5,27,53,15,1,0,101
JAY STREET-BOROUGH HALL,5,101,84,23,6,1,220
"A,C,F",5,101,84,23,6,1,220
JEFFERSON STREET,6,54,116,17,0,0,193
L,6,54,116,17,0,0,193
JUNIUS STREET,6,23,30,6,0,0,65
3,6,23,30,6,0,0,65
KINGS HIGHWAY,0,16,35,15,0,1,67
"B,Q",0,14,30,11,0,1,56
F,0,0,0,2,0,0,2
N,0,2,5,2,0,0,9
KINGSTON AVENUE,0,7,5,3,0,0,15
3,0,7,5,3,0,0,15
KINGSTON-THROOP AVENUES,1,5,24,1,0,0,31
C,1,5,24,1,0,0,31
KNICKERBOCKER AVENUE,0,1,2,0,0,0,3
M,0,1,2,0,0,0,3
KOSCIUSKO STREET,0,11,16,2,1,0,30
J,0,11,16,2,1,0,30
LAFAYETTE AVENUE,0,2,8,2,0,0,12
C,0,2,8,2,0,0,12
LIBERTY AVENUE,1,7,18,5,0,0,31
C,1,7,18,5,0,0,31
LIVONIA AVENUE,1,18,31,10,3,0,63
L,1,18,31,10,3,0,63
LORIMER STREET,3,43,102,9,1,0,158
"J,M",0,9,11,1,0,0,21
L,3,34,91,8,1,0,137
MARCY AVENUE,0,68,99,12,1,0,180
"J,M,Z",0,68,99,12,1,0,180
METROPOLITAN AVENUE,0,15,34,2,0,0,51
G,0,15,34,2,0,0,51
MONTROSE AVENUE,0,16,22,8,0,0,46
L,0,16,22,8,0,0,46
MORGAN AVENUE,0,13,24,2,0,0,39
L,0,13,24,2,0,0,39
MYRTLE AVENUE,0,8,20,4,0,0,32
"J,M,Z",0,8,20,4,0,0,32
MYRTLE/WYCKOFF AVENUES,7,269,362,99,5,1,743
L,7,269,362,99,5,1,743
MYRTLE-WILLOUGHBY AVENUES,1,34,33,8,2,1,79
G,1,34,33,8,2,1,79
NASSAU AVENUE,0,12,21,9,1,0,43
G,0,12,21,9,1,0,43
NECK ROAD,0,0,3,0,0,0,3
Q,0,0,3,0,0,0,3
NEPTUNE AVENUE,0,0,1,1,0,0,2
F,0,0,1,1,0,0,2
NEVINS STREET,1,10,25,15,2,0,53
"2,3,4,5",1,10,25,15,2,0,53
NEW LOTS AVENUE,2,3,17,10,0,0,32
3,1,3,11,5,0,0,20
L,1,0,6,5,0,0,12
NEW UTRECHT AVENUE,0,1,1,2,0,0,4
N,0,1,1,2,0,0,4
NEWKIRK AVENUE,0,14,23,4,0,0,41
"2,5",0,13,23,4,0,0,40
"B,Q",0,1,0,0,0,0,1
NORWOOD AVENUE,0,1,1,0,0,0,2
"J,Z",0,1,1,0,0,0,2
NOSTRAND AVENUE,3,63,131,30,2,0,229
3,0,3,12,3,0,0,18
"A,C",3,60,119,27,2,0,211
OCEAN PKWY,0,1,4,0,0,0,5
Q,0,1,4,0,0,0,5
PACIFIC STREET,0,7,18,5,0,0,30
"D,N,R",0,7,18,5,0,0,30
PARKSIDE AVENUE,0,7,11,0,0,0,18
Q,0,7,11,0,0,0,18
PENNSYLVANIA AVENUE,2,7,10,6,0,0,25
3,2,7,10,6,0,0,25
PRESIDENT STREET,0,1,2,0,0,0,3
"2,5",0,1,2,0,0,0,3
PROSPECT AVENUE,0,8,6,3,0,0,17
R,0,8,6,3,0,0,17
PROSPECT PARK,0,35,38,8,0,1,82
"B,Q,S",0,35,38,8,0,1,82
RALPH AVENUE,0,11,34,3,0,0,48
C,0,11,34,3,0,0,48
ROCKAWAY AVENUE,2,31,55,17,0,0,105
3,1,9,13,6,0,0,29
C,1,22,42,11,0,0,76
ROCKAWAY PKWY-CANARSIE,1,7,11,6,0,0,25
L,1,7,11,6,0,0,25
SARATOGA AVENUE,2,21,20,9,1,0,53
3,2,21,20,9,1,0,53
SENECA AVENUE,0,4,5,2,0,0,11
M,0,4,5,2,0,0,11
SHEEPSHEAD BAY,1,24,34,7,0,0,66
"B,Q",1,24,34,7,0,0,66
SHEPHERD AVENUE,0,5,7,2,1,0,15
C,0,5,7,2,1,0,15
SMITH-9 STREETS,1,26,37,21,1,0,86
"F,G",1,26,37,21,1,0,86
STERLING STREET,0,11,21,6,1,0,39
"2,5",0,11,21,6,1,0,39
STILLWELL AVENUE-CONEY ISLAND,3,47,153,48,7,0,258
"D,F,N,Q",3,47,153,48,7,0,258
SUTTER AVENUE,1,21,35,9,2,0,68
L,1,21,35,9,2,0,68
SUTTER AVENUE-RUTLAND ROAD,2,15,31,9,1,0,58
3,2,15,31,9,1,0,58
UNION STREET,0,4,4,1,0,0,9
R,0,4,4,1,0,0,9
UTICA AVE.-CROWN HEIGHTS,4,66,98,31,2,1,202
"3,4",4,66,98,31,2,1,202
UTICA AVENUE,1,37,56,13,1,0,108
"A,C",1,37,56,13,1,0,108
